t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109647272368134,765,1779109647250839844,35.689,200,223051,1
1779109647776385046,768,1779109647751896973,39.140,200,254466,1
1779109648242272370,771,1779109648252967773,36.675,200,254676,1
1779109648730208946,774,1779109648754005127,40.066,200,254667,1
1779109649067871114,776,1779109649088015381,40.002,200,254727,1
1779109649437163342,778,1779109649422020752,39.596,200,253107,1
1779109649912294767,781,1779109649923069824,34.898,200,254665,1
1779109650278306274,783,1779109650257096924,45.448,200,254724,1
1779109650723424946,786,1779109650758180908,39.263,200,254369,1
1779109651253954133,789,1779109651259290283,40.920,200,256221,1
1779109651741530386,792,1779109651760345459,38.003,200,254826,1
1779109652080022502,794,1779109652094359863,40.168,200,254107,1
1779109652562640700,797,1779109652595408203,40.183,200,252562,1
1779109652910708953,799,1779109652929446777,39.782,200,252629,1
